"X","ID","ag","pov_final","genre","mc_calc"
234,"2007_Diaz,Junot_TheBriefWondrousLifeofOscarWao_BS.txt.csv","M","3p","BS","Y"
235,"2007_Follett,Ken_WorldWithoutEnd_BS.txt.csv","M","3p","BS","Y"
236,"2007_Hosseini,Khaled_AThousandSplendid_BS.txt.csv","M","3p","BS","Y"
237,"2007_Larsson,Stieg_TheGirlWhoKickedThe_HornetsNest_BS.txt.csv","M","3p","BS","Y"
239,"2008_Akpan,Uwem_SayYoureOne_BS.txt.csv","M","1p","BS","Y"
240,"2008_Beck,Glenn_ChristmasSweater_BS.txt.csv","M","1p","BS","Y"
241,"2008_Benioff,David_CityofThieves_BS.txt.csv","M","1p","BS","N"
242,"2008_Cleave,Chris_LittleBee_BS.txt.csv","M","1p","BS","Y"
243,"2008_Cornwell,Patricia_Scarpetta_BS.txt.csv","F","3p","BS","Y"
244,"2008_Grisham,John_TheAppeal_BS.txt.csv","M","3p","BS","Y"
245,"2008_Hannah,Kristin_FireflyLane_BS.txt.csv","F","3p","BS","Y"
246,"2008_Hilderbrand,Elin_Barefoot_BS.txt.csv","F","3p","BS","Y"
247,"2008_Meyer,Stephanie_TheHost_BS.txt.csv","F","1p","BS","Y"
248,"2008_Patterson,James_CrossCountry_BS.txt.csv","M","1p","BS","Y"
249,"2008_Patterson,James_SundaysatTiffanys_BS.txt.csv","M","1p","BS","Y"
250,"2008_Shaffer,MaryAnn_TheGuernseyLiteraryandPotatoPeelPie_BS.txt.csv","F","1p","BS","Y"
251,"2008_Sittenfeld,Curtis_AmericanWife_BS.txt.csv","F","1p","BS","Y"
252,"2008_Sparks,Nicholas_TheLuckyOne_BS.txt.csv","M","3p","BS","Y"
253,"2008_Stein,Garth_TheArtofRacingintheRain_BS.txt.csv","M","1p","BS","N"
254,"2008_Strout,Elizabeth_OliveKItteridge_BS.txt.csv","F","3p","BS","Y"
255,"2008_Wroblewski,David_TheStoryofEdgarSawtelle_BS.txt.csv","M","3p","BS","Y"
256,"2009_Blake,Sarah_Postmistress_BS.txt.csv","F","3p","BS","Y"
257,"2009_Brown,Dan_TheLostSymbol_BS.txt.csv","M","3p","BS","Y"
258,"2009_Conroy,Pat_SouthofBroad_BS.txt.csv","M","1p","BS","Y"
259,"2009_Goolrick,Robert_AReliableWife_BS.txt.csv","M","3p","BS","Y"
260,"2009_Grahame-Smith,Seth_PrideandPrejudiceandZombies_BS.txt.csv","M","3p","BS","Y"
261,"2009_Grisham,John_TheAssociate_BS.txt.csv","M","3p","BS","Y"
262,"2009_King,Stephen_UndertheDome_BS.txt.csv","M","3p","BS","Y"
263,"2009_Nicholls,David_OneDay_BS.txt.csv","M","3p","BS","Y"
264,"2009_Patterson,James_8thConfession_BS.txt.csv","M","1p","BS","Y"
265,"2009_Patterson,James_RunForYourLife_BS.txt.csv","M","1p","BS","Y"
266,"2009_Patterson,James_SwimSuit_BS.txt.csv","M","1p","BS","Y"
267,"2009_Roberts,Nora_VisioninWhite_BS.txt.csv","F","3p","BS","Y"
268,"2009_Sparks,Nicholas_TheLastSong_BS.txt.csv","M","3p","BS","Y"
269,"2009_Stockett,Kathryn_TheHelp_BS.txt.csv","F","1p","BS","Y"
270,"2009_Verghese,Abraham_CuttingforStone_BS.txt.csv","M","1p","BS","Y"
271,"2009_Walls,Jeannette_HalfBroke_BS.txt.csv","F","1p","BS","Y"
272,"2009_Weiner,Jennifer_BestFriendsForever_BS.txt.csv","F","1p","BS","Y"
273,"2010_Clancy,Tom_DeadorAlive_BS.txt.csv","M","3p","BS","Y"
275,"2010_Franzen,Jonathan_Freedom_BS.txt.csv","M","3p","BS","Y"
276,"2010_Grahame-Smith,Seth_AbrahamLincoln-VampireHunter_BS.txt.csv","M","3p","BS","Y"
277,"2010_Hannah,Kristin_WinterGarden_BS.txt.csv","F","3p","BS","Y"
